,Tucson city,New York city,San Francisco city,Boston city,Washington city,Chicago city,Philadelphia city,Seattle city,Baltimore city,Los Angeles city,Milwaukee city,Portland city,Denver city,San Jose city,Detroit city,Las Vegas city,Houston city,San Diego city,Dallas city,Columbus city,Austin city,San Antonio city,Phoenix city,Charlotte city,Albuquerque city,Indianapolis city (balance),El Paso city,Fort Worth city,Memphis city,Louisville/Jefferson County metro government (balance),Nashville-Davidson metropolitan government (balance),Jacksonville city,Oklahoma City city
1,1.0,1.0,0.999999999445,0.99999990014,0.999997462891,0.999998964555,0.999998582743,0.999931919003,0.999876386785,0.999940789642,0.999240979999,0.996390566795,0.99504808218,0.998284085911,0.996486012372,0.995354007386,0.990244631993,0.993569149662,0.989205071863,0.989202423348,0.97570426213,0.975298877807,0.970216609334,0.963038198951,0.967936521578,0.937951710587,0.952113713262,0.941804129434,0.916920861696,0.889921377793,0.803002560218,0.742559853326,0.710196579156
2,1.0,1.0,0.99999998782,0.999998328917,0.999965767281,0.999984763873,0.999979573711,0.999294643043,0.99878024235,0.999365038865,0.993793448605,0.976422721686,0.969216780709,0.98741218074,0.976669963277,0.97054047155,0.94632310112,0.961376095425,0.940868262149,0.940376571988,0.886232926647,0.883998119447,0.865709073027,0.842063434634,0.857673579975,0.766356985074,0.806450071221,0.776308973639,0.711678389515,0.647235963034,0.4835329901,0.393311217886,0.351984553909
3,1.0,0.999999999995,0.999999866065,0.999985968493,0.999767810408,0.999887333092,0.999852033225,0.996304476084,0.993909230081,0.996565250176,0.974240516105,0.920936464536,0.90149578307,0.952913883526,0.92075912568,0.904151894017,0.84657350146,0.88057142865,0.832184046087,0.829918506765,0.720744777908,0.715156787942,0.682219254204,0.643260558501,0.668049755652,0.528260138089,0.585046483187,0.540988132219,0.456816963262,0.37951903996,0.223950048521,0.15632970015,0.129901041816
4,1.0,0.999999999948,0.999999015859,0.999921144417,0.99894366685,0.999441429356,0.999281260076,0.986921953717,0.979441925783,0.987486776158,0.927441805597,0.817607148313,0.782433738797,0.879816618673,0.815516422306,0.785495012232,0.693917301659,0.744947057469,0.668492058068,0.663223431879,0.515669790181,0.506858365775,0.467274825211,0.424464657526,0.450605505736,0.30718666624,0.360838876503,0.317906298447,0.244615691194,0.182474662958,0.0830183275002,0.0490833001124,0.0377961953443
5,1.0,0.999999999565,0.999994562458,0.999666153776,0.996370508304,0.997909949628,0.997364486448,0.96475811212,0.947122536931,0.965403980016,0.843413895392,0.672433582185,0.624387213116,0.76346933219,0.666829299288,0.626090798125,0.516452577524,0.573660362547,0.482621320974,0.474427465386,0.324042523217,0.313988158168,0.278274729921,0.242976531392,0.263556500487,0.152620832168,0.190661931389,0.159286687041,0.111283901597,0.0736105048501,0.0254953593428,0.0126651397224,0.00904305366437
6,1.0,0.999999997106,0.999975896676,0.998863622154,0.98994331547,0.993699289006,0.992212073606,0.922682020301,0.889177196179,0.922422462442,0.722683989126,0.508188699646,0.455297989794,0.615088949676,0.498645562559,0.454379067392,0.348963912441,0.399991236154,0.312824031356,0.303248787817,0.179965692532,0.17101298058,0.145209003397,0.121913447016,0.134805124662,0.0658034746089,0.0873942347877,0.069051819527,0.0438250481332,0.0254502160691,0.00666518978184,0.00276657415815,0.00183486256737
7,1.0,0.999999983916,0.999910681208,0.996758238527,0.976563530883,0.984045410196,0.980663621011,0.855755936039,0.802295038087,0.852691006564,0.578092870996,0.352220847479,0.303312947867,0.457156075035,0.339985670547,0.299862241088,0.215052340037,0.252707316153,0.182783240968,0.173818684379,0.0891437986187,0.0826204064861,0.0670670703925,0.0542478311953,0.0609342054277,0.0249884296494,0.0352062677934,0.0262706858974,0.0151898616617,0.00767868765223,0.00151507445583,0.000523238193935,0.000323103226299
8,1.0,0.99999992328,0.99971530016,0.992021914473,0.952681272544,0.965060193664,0.958463431313,0.76392875258,0.690200863702,0.755699555625,0.429621346947,0.224284993287,0.185188625622,0.312858723879,0.211583925813,0.180378032476,0.121637461757,0.145224881388,0.0968763218001,0.0898734467427,0.0397597484829,0.0357414098973,0.0276970760202,0.021646714954,0.0245961551341,0.00846713770411,0.0126143648671,0.00888341683534,0.00469899676963,0.00205212418429,0.000304498195197,8.71893145077e-05,5.02614213844e-05
9,1.0,0.999999679292,0.99920285229,0.98269246677,0.915355343643,0.932366709531,0.921097479085,0.652869434226,0.563120783418,0.637625459372,0.2961834909,0.13170528428,0.104112388176,0.197336359487,0.12057943255,0.0993188880624,0.0635545814806,0.0763133245716,0.0468921528153,0.042197667395,0.0161111806003,0.0139685754548,0.0103239505266,0.00782352561839,0.00895108820456,0.00258866522133,0.00406238636456,0.00269937679784,0.00131261063545,0.000491806490719,5.48377803271e-05,1.29793125188e-05,7.00400291098e-06
10,1.0,0.99999880634,0.9980073303,0.96634051332,0.86343236153,0.882283393254,0.865156113002,0.532467648769,0.43447557439,0.509824111251,0.189550106139,0.0716449966626,0.0541736087729,0.115015388497,0.0631950224085,0.0503042326714,0.0308531891015,0.0368756641023,0.0208670155699,0.0181102726263,0.00597883805823,0.00497203404588,0.00350256224262,0.00258331990042,0.00296192557183,0.000720872137126,0.00118663636589,0.000744048370839,0.000334310179479,0.000106785647847,8.94648455207e-06,1.74557393695e-06,8.84181166061e-07
