,State,Geographic area,Population,Density per square mile of land area - Population
226,Alabama,Blount County (part),0,0
606,Alabama,Blount County (part),0,0
483,Alabama,Cherokee County (part),0,0
264,Alabama,Fayette County (part),0,0
637,Alabama,St. Clair County (part),0,0
639,Alabama,Talladega County (part),0,0
729,Alaska,"Chisana CDP, Valdez-Cordova Census Area",0,0
754,Alaska,"Dot Lake CDP, Southeast Fairbanks Census Area",13,0
777,Alaska,"Flat CDP, Yukon-Koyukuk Census Area",0,0
804,Alaska,"Hobart Bay CDP, Hoonah-Angoon Census Area",1,0
861,Alaska,"Livengood CDP, Yukon-Koyukuk Census Area",13,0
876,Alaska,"Mertarvik CDP, Bethel Census Area",0,0
884,Alaska,"Nabesna CDP, Valdez-Cordova Census Area",5,0
924,Alaska,"Petersville CDP, Matanuska-Susitna Borough",4,0
1012,Alaska,"Ugashik CDP, Lake and Peninsula Borough",12,0
1438,Arizona,Gila County (part),0,0
1203,Arizona,Pinal County (part),0,0
1258,Arizona,Pinal County (part),0,0
1494,Arizona,Pinal County (part),0,0
1482,Arizona,Yavapai County (part),0,0
1799,Arkansas,St. Francis County (part),0,0
2117,California,"Almanor CDP, Plumas County",0,0
2307,California,"Caribou CDP, Plumas County",0,0
2333,California,"Cedar Slope CDP, Tulare County",0,0
3371,California,"Silver City CDP, Tulare County",0,0
3425,California,"Sugarloaf Mountain Park CDP, Tulare County",0,0
3510,California,"University of California Merced CDP, Merced County",0,0
3524,California,"Valley Wells CDP, Inyo County",0,0
3717,Colorado,Clear Creek County (part),0,0
4078,Colorado,Jefferson County (part),0,0
4086,Colorado,Weld County (part),0,0
4469,Delaware,New Castle County (part),0,0
5046,Florida,St. Johns County (part),0,0
5495,Georgia,Bleckley County (part),0,0
6146,Georgia,Haralson County (part),0,0
5865,Georgia,Hart County (part),0,0
5604,Georgia,Houston County (part),0,0
5744,Georgia,Irwin County (part),0,0
5496,Georgia,Laurens County (part),0,0
6640,Illinois,Champaign County (part),0,0
6750,Illinois,Cook County (part),0,0
6972,Illinois,Cook County (part),0,0
7058,Illinois,Cook County (part),0,0
7091,Illinois,Cook County (part),0,0
7162,Illinois,Cook County (part),0,0
8228,Illinois,Cook County (part),0,0
6723,Illinois,DuPage County (part),0,0
6910,Illinois,DuPage County (part),0,0
7083,Illinois,DuPage County (part),0,0
7959,Illinois,DuPage County (part),0,0
8208,Illinois,DuPage County (part),0,0
6880,Illinois,Jefferson County (part),0,0
6719,Illinois,Kane County (part),0,0
7310,Illinois,Kane County (part),0,0
6670,Illinois,Lake County (part),0,0
7755,Illinois,Lake County (part),0,0
6991,Illinois,LaSalle County (part),0,0
7884,Illinois,Lee County (part),0,0
7125,Illinois,Marion County (part),0,0
7096,Illinois,McLean County (part),0,0
7130,Illinois,Peoria County (part),0,0
7786,Illinois,Peoria County (part),0,0
7355,Illinois,Piatt County (part),0,0
7280,Illinois,St. Clair County (part),0,0
7518,Illinois,St. Clair County (part),0,0
7590,Illinois,Wayne County (part),0,0
7558,Illinois,Will County (part),0,0
7950,Illinois,Will County (part),0,0
6856,Illinois,Williamson County (part),0,0
8548,Indiana,Beech Grove city (part),0,0
8505,Indiana,Cass County (part),0,0
8458,Indiana,Hamilton County (part),0,0
9562,Iowa,Adams County (part),0,0
9731,Iowa,Cerro Gordo County (part),0,0
9290,Iowa,Crawford County (part),0,0
9417,Iowa,Floyd County (part),0,0
9934,Iowa,Fremont County (part),0,0
9211,Iowa,Guthrie County (part),0,0
10052,Iowa,Muscatine County (part),0,0
9742,Iowa,Polk County (part),0,0
9556,Iowa,Tama County (part),0,0
9349,Iowa,Webster County (part),0,0
10738,Kansas,Cloud County (part),0,0
10612,Kansas,Gove County (part),0,0
10205,Kansas,Johnson County (part),0,0
10416,Kansas,Morris County (part),0,0
10156,Kansas,Sedgwick County (part),0,0
10712,Kansas,Wabaunsee County (part),0,0
10805,Kansas,Wabaunsee County (part),0,0
10976,Kentucky,Caldwell County (part),0,0
11293,Kentucky,Hardin County (part),0,0
11124,Kentucky,Lincoln County (part),0,0
11482,Kentucky,Pendleton County (part),0,0
11821,Louisiana,St. Martin Parish (part),0,0
11963,Louisiana,Winn Parish (part),0,0
12316,Maine,"Louds Island UT, Lincoln County",0,0
12336,Maine,"Marshall Island UT, Hancock County",0,0
12403,Maine,"North Oxford UT, Oxford County",24,0
12407,Maine,"Northwest Aroostook UT, Aroostook County",10,0
12408,Maine,"Northwest Hancock UT, Hancock County",2,0
12448,Maine,"Perkins UT, Sagadahoc County",0,0
12504,Maine,"Seboomook Lake UT, Somerset County",48,0
12567,Maine,"Twombly Ridge UT, Penobscot County",0,0
12604,Maine,"West Central Franklin UT, Franklin County",0,0
13609,Massachusetts,"Southfield CDP, Plymouth County",0,0
14379,Michigan,Monroe County (part),0,0
14367,Michigan,Oakland County (part),0,0
17599,Minnesota,Blue Earth County (part),0,0
16435,Minnesota,Clearwater County (part),0,0
15975,Minnesota,Dodge County (part),0,0
16575,Minnesota,"Forest Area township, Lake of the Woods County",5,0
16146,Minnesota,Hennepin County (part),0,0
17988,Minnesota,Isanti County (part),0,0
16008,Minnesota,Kanabec County (part),0,0
17020,Minnesota,"Kiel township, Lake of the Woods County",1,0
17037,Minnesota,"Klondike UT, Kittson County",0,0
17491,Minnesota,"Mud Lake UT, Marshall County",0,0
17309,Minnesota,Nicollet County (part),0,0
17605,Minnesota,"North Red River UT, Kittson County",0,0
16039,Minnesota,Pope County (part),0,0
15966,Minnesota,Ramsey County (part),0,0
17848,Minnesota,Renville County (part),0,0
17956,Minnesota,"Rulien township, Lake of the Woods County",0,0
17175,Minnesota,Sibley County (part),0,0
16184,Minnesota,Stearns County (part),0,0
18297,Minnesota,"Township 157-30, Lake of the Woods County",1,0
18339,Minnesota,"Upper Red Lake UT, Beltrami County",14,0
16801,Minnesota,Washington County (part),0,0
17050,Minnesota,Winona County (part),0,0
18903,Mississippi,Leake County (part),0,0
19181,Missouri,Audrain County (part),0,0
19829,Missouri,Barry County (part),0,0
19198,Missouri,Boone County (part),0,0
19258,Missouri,Buchanan County (part),0,0
19953,Missouri,Cape Girardeau County (part),0,0
19507,Missouri,Clay County (part),0,0
20014,Missouri,Clay County (part),0,0
19389,Missouri,Daviess County (part),0,0
19351,Missouri,"Florida village, Monroe County",0,0
19407,Missouri,"Goss town, Monroe County",0,0
19577,Missouri,"Lakeside city, Miller County",0,0
19693,Missouri,Mississippi County (part),0,0
19092,Missouri,Osage County (part),0,0
19856,Missouri,Pemiscot County (part),0,0
19982,Missouri,Platte County (part),0,0
20070,Missouri,Ralls County (part),0,0
19162,Missouri,Scott County (part),0,0
19110,Missouri,Stone County (part),0,0
20403,Montana,Chouteau County (part),0,0
20389,Montana,Lake County (part),0,0
21066,Nebraska,Adams County (part),0,0
21273,New Hampshire,"Atkinson and Gilmanton Academy grant, Coos County",0,0
21280,New Hampshire,"Beans grant, Coos County",0,0
21281,New Hampshire,"Beans purchase, Coos County",0,0
21312,New Hampshire,"Chandlers purchase, Coos County",0,0
21329,New Hampshire,"Crawfords purchase, Coos County",0,0
21331,New Hampshire,"Cutts grant, Coos County",0,0
21339,New Hampshire,"Dixs grant, Coos County",1,0
21360,New Hampshire,"Ervings location, Coos County",0,0
21388,New Hampshire,"Hadleys purchase, Coos County",0,0
21423,New Hampshire,"Kilkenny township, Coos County",0,0
21440,New Hampshire,"Livermore town, Grafton County",0,0
21445,New Hampshire,"Low and Burbanks grant, Coos County",0,0
21455,New Hampshire,"Martins location, Coos County",0,0
21539,New Hampshire,"Second College grant, Coos County",0,0
21552,New Hampshire,"Success township, Coos County",0,0
21563,New Hampshire,"Thompson and Meserves purchase, Coos County",0,0
22656,New Mexico,San Miguel County (part),0,0
22511,New Mexico,Sandoval County (part),0,0
24258,New York,"Oil Springs Reservation, Cattaraugus County",0,0
23573,New York,Seneca County (part),0,0
24785,New York,"Tonawanda Reservation, Niagara County",0,0
25547,North Carolina,Durham County (part),0,0
25084,North Carolina,Harnett County (part),0,0
25643,North Carolina,Hoke County (part),0,0
25881,North Carolina,Johnston County (part),0,0
25524,North Carolina,Mecklenburg County (part),0,0
25824,North Carolina,Pender County (part),0,0
25277,North Carolina,Sampson County (part),0,0
25281,North Carolina,Sampson County (part),0,0
25793,North Carolina,Stokes County (part),0,0
25177,North Carolina,Wake County (part),0,0
25232,North Carolina,Wake County (part),0,0
26259,North Dakota,Barnes County (part),0,0
26044,North Dakota,Traill County (part),0,0
26690,Ohio,Belmont County (part),0,0
27500,Ohio,Fairfield County (part),0,0
26856,Ohio,Greene County (part),0,0
26685,Ohio,Hamilton County (part),0,0
27400,Ohio,Highland County (part),0,0
26736,Ohio,Morrow County (part),0,0
26808,Ohio,Pickaway County (part),0,0
26959,Ohio,Pickaway County (part),0,0
26737,Ohio,Richland County (part),0,0
26782,Ohio,Ross County (part),0,0
26672,Ohio,Sandusky County (part),0,0
26411,Ohio,Warren County (part),0,0
26706,Ohio,Wyandot County (part),0,0
28208,Oklahoma,Cherokee County (part),0,0
28276,Oklahoma,Cleveland County (part),0,0
28085,Oklahoma,Craig County (part),0,0
27872,Oklahoma,Garvin County (part),0,0
28176,Oklahoma,Payne County (part),0,0
28233,Oklahoma,Payne County (part),0,0
27929,Oklahoma,Rogers County (part),0,0
28422,Oklahoma,Rogers County (part),0,0
27818,Oklahoma,Tillman County (part),0,0
28643,Oregon,Baker County (part),0,0
28644,Oregon,Grant County (part),0,0
28642,Oregon,Greenhorn city,0,0
28732,Oregon,Multnomah County (part),0,0
29005,Pennsylvania,Columbia County (part),0,0
32626,South Carolina,Berkeley County (part),0,0
32712,South Carolina,Cherokee County (part),0,0
32573,South Carolina,Dorchester County (part),0,0
32764,South Carolina,Laurens County (part),0,0
33687,Tennessee,Blount County (part),0,0
33628,Tennessee,Chester County (part),0,0
33285,Tennessee,Fayette County (part),0,0
33709,Tennessee,Hamblen County (part),0,0
33656,Tennessee,McMinn County (part),0,0
33331,Tennessee,McNairy County (part),0,0
33390,Tennessee,Morgan County (part),0,0
33664,Tennessee,Stewart County (part),0,0
34998,Texas,Bastrop County (part),0,0
34099,Texas,Bell County (part),0,0
34044,Texas,Bexar County (part),0,0
35589,Texas,Chambers County (part),0,0
34496,Texas,Collin County (part),0,0
35674,Texas,Collin County (part),0,0
35382,Texas,Comal County (part),0,0
34864,Texas,Coryell County (part),0,0
34439,Texas,Dallas County (part),0,0
34018,Texas,Denton County (part),0,0
34440,Texas,Denton County (part),0,0
34482,Texas,Denton County (part),0,0
34511,Texas,Erath County (part),0,0
34468,Texas,Fisher County (part),0,0
34181,Texas,Gaines County (part),0,0
34223,Texas,Gregg County (part),0,0
35410,Texas,Guadalupe County (part),0,0
34158,Texas,Kaufman County (part),0,0
34492,Texas,Kaufman County (part),0,0
34106,Texas,Kleberg County (part),0,0
34733,Texas,"Laredo Ranchettes West CDP, Webb County",0,0
34966,Texas,Liberty County (part),0,0
34927,Texas,Martin County (part),0,0
34702,Texas,Medina County (part),0,0
35626,Texas,Montgomery County (part),0,0
35549,Texas,Navarro County (part),0,0
35235,Texas,"Pueblo East CDP, Webb County",0,0
34108,Texas,San Patricio County (part),0,0
34845,Texas,Shackelford County (part),0,0
35017,Texas,Tarrant County (part),0,0
35318,Texas,Tarrant County (part),0,0
34057,Texas,Upshur County (part),0,0
35664,Texas,"Valle Hermoso CDP, Starr County",0,0
35665,Texas,"Valle Verde CDP, Webb County",0,0
34962,Texas,Winkler County (part),0,0
34345,Texas,Wise County (part),0,0
35526,Texas,Wise County (part),0,0
36068,Utah,Juab County (part),0,0
36154,Vermont,"Avery's gore, Essex County",0,0
36306,Vermont,"Lewis town, Essex County",0,0
36459,Vermont,"Warner's grant, Essex County",0,0
36750,Virginia,Louisa County (part),0,0
36979,Virginia,Stafford County (part),0,0
37274,Washington,Grant County (part),0,0
37613,Washington,Grays Harbor County (part),0,0
37327,Washington,Pierce County (part),0,0
38300,Wisconsin,Bayfield County (part),0,0
38631,Wisconsin,Dodge County (part),0,0
39036,Wisconsin,Dodge County (part),0,0
39172,Wisconsin,Fond du Lac County (part),0,0
39783,Wisconsin,Oconto County (part),0,0
39102,Wisconsin,Outagamie County (part),0,0
39465,Wisconsin,Portage County (part),0,0
38494,Wisconsin,Walworth County (part),0,0
39478,Wisconsin,Washington County (part),0,0
39479,Wisconsin,Waukesha County (part),0,0
40543,Wyoming,"Table Rock CDP, Sweetwater County",0,0
700,Alaska,"Attu Station CDP, Aleutians West Census Area",21,0.1
724,Alaska,"Chicken CDP, Southeast Fairbanks Census Area",7,0.1
855,Alaska,"Lake Minchumina CDP, Yukon-Koyukuk Census Area",13,0.1
874,Alaska,"Mendeltna CDP, Valdez-Cordova Census Area",39,0.1
901,Alaska,"Nikolski CDP, Aleutians West Census Area",18,0.1
919,Alaska,"Paxson CDP, Valdez-Cordova Census Area",40,0.1
934,Alaska,"Point Possession CDP, Kenai Peninsula Borough",3,0.1
935,Alaska,"Pope-Vannoy Landing CDP, Lake and Peninsula Borough",6,0.1
947,Alaska,"Rampart CDP, Yukon-Koyukuk Census Area",24,0.1
974,Alaska,"Skwentna CDP, Matanuska-Susitna Borough",37,0.1
986,Alaska,"Susitna CDP, Matanuska-Susitna Borough",18,0.1
1191,Arizona,"Grand Canyon West CDP, Mohave County",2,0.1
3551,California,"Warner Valley CDP, Plumas County",2,0.1
12218,Maine,"Glenwood plantation, Aroostook County",3,0.1
12401,Maine,"North Franklin UT, Franklin County",61,0.1
12409,Maine,"Northwest Piscataquis UT, Piscataquis County",147,0.1
12410,Maine,"Northwest Somerset UT, Somerset County",62,0.1
17585,Minnesota,"Northeast Aitkin UT, Aitkin County",11,0.1
21500,New Hampshire,"Odell township, Coos County",4,0.1
21536,New Hampshire,"Sargents purchase, Coos County",3,0.1
36419,Vermont,"Somerset town, Windham County",3,0.1
684,Alaska,"Alcan Border CDP, Southeast Fairbanks Census Area",33,0.2
705,Alaska,"Beluga CDP, Kenai Peninsula Borough",20,0.2
718,Alaska,"Chase CDP, Matanuska-Susitna Borough",34,0.2
768,Alaska,"Eureka Roadhouse CDP, Matanuska-Susitna Borough",29,0.2
770,Alaska,"Excursion Inlet CDP, Haines Borough",12,0.2
803,Alaska,"Healy Lake CDP, Southeast Fairbanks Census Area",13,0.2
866,Alaska,"McCarthy CDP, Valdez-Cordova Census Area",28,0.2
936,Alaska,"Portage Creek CDP, Dillingham Census Area",2,0.2
1028,Alaska,"Wiseman CDP, Yukon-Koyukuk Census Area",14,0.2
2863,California,"Little Grass Valley CDP, Plumas County",2,0.2
12106,Maine,"Central Aroostook UT, Aroostook County",118,0.2
12171,Maine,"East Hancock UT, Hancock County",94,0.2
12398,Maine,"Northeast Piscataquis UT, Piscataquis County",273,0.2
15866,Minnesota,"Bassett township, St. Louis County",41,0.2
16776,Minnesota,"Hangaard township, Clearwater County",5,0.2
17578,Minnesota,"North Beltrami UT, Beltrami County",34,0.2
17613,Minnesota,"Northwest Roseau UT, Roseau County",25,0.2
17714,Minnesota,"Peatland UT, Kittson County",9,0.2
18137,Minnesota,"South Koochiching UT, Koochiching County",189,0.2
18368,Minnesota,"Victory township, Lake of the Woods County",7,0.2
21302,New Hampshire,"Cambridge township, Coos County",8,0.2
21340,New Hampshire,"Dixville township, Coos County",12,0.2
29691,Pennsylvania,"East Keating township, Clinton County",11,0.2
36257,Vermont,"Glastenbury town, Bennington County",8,0.2
730,Alaska,"Chistochina CDP, Valdez-Cordova Census Area",93,0.3
739,Alaska,"Coldfoot CDP, Yukon-Koyukuk Census Area",10,0.3
891,Alaska,"Nelson Lagoon CDP, Aleutians East Borough",52,0.3
17587,Minnesota,"Northeast St. Louis UT, St. Louis County",248,0.3
17834,Minnesota,"Rapid River township, Lake of the Woods County",12,0.3
18131,Minnesota,"South Clearwater UT, Clearwater County",10,0.3
18209,Minnesota,"Stony River township, Lake County",173,0.3
18759,Mississippi,Rankin County (part),1,0.3
21383,New Hampshire,"Greens grant, Coos County",1,0.3
22510,New Mexico,Bernalillo County (part),4,0.3
716,Alaska,"Central CDP, Yukon-Koyukuk Census Area",96,0.4
860,Alaska,"Lime Village CDP, Bethel Census Area",29,0.4
865,Alaska,"Lutak CDP, Haines Borough",49,0.4
875,Alaska,"Mentasta Lake CDP, Valdez-Cordova Census Area",112,0.4
1309,Arizona,Yavapai County (part),7,0.4
12122,Maine,"Codyville plantation, Washington County",24,0.4
12404,Maine,"North Penobscot UT, Penobscot County",463,0.4
16581,Minnesota,"Fork township, Marshall County",10,0.4
16773,Minnesota,"Hamre township, Beltrami County",13,0.4
17612,Minnesota,"Northwest Koochiching UT, Koochiching County",463,0.4
35834,Utah,"Bonanza CDP, Uintah County",1,0.4
35921,Utah,"Halls Crossing CDP, San Juan County",6,0.4
36461,Vermont,"Warren's gore, Essex County",4,0.4
775,Alaska,"Ferry CDP, Denali Borough",33,0.5
1004,Alaska,"Tonsina CDP, Valdez-Cordova Census Area",78,0.5
12406,Maine,"North Washington UT, Washington County",499,0.5
12615,Maine,"Whitney UT, Penobscot County",5,0.5
16359,Minnesota,"Donnelly township, Marshall County",19,0.5
16862,Minnesota,"Hill township, Kittson County",15,0.5
17584,Minnesota,"North Clearwater UT, Clearwater County",87,0.5
17614,Minnesota,"Northwest St. Louis UT, St. Louis County",301,0.5
20388,Montana,Flathead County (part),18,0.5
20387,Montana,Niarada CDP,27,0.5
21465,New Hampshire,"Millsfield township, Coos County",23,0.5
24096,New York,"Morehouse town, Hamilton County",86,0.5
686,Alaska,"Aleneva CDP, Kodiak Island Borough",37,0.6
975,Alaska,"Slana CDP, Valdez-Cordova Census Area",147,0.6
1037,Arizona,"Alamo Lake CDP, La Paz County",25,0.6
1412,Arizona,"Sunwest CDP, La Paz County",15,0.6
12281,Maine,"Kingsbury plantation, Piscataquis County",28,0.6
15390,Michigan,"Seney township, Schoolcraft County",119,0.6
15640,Michigan,"West Branch township, Dickinson County",63,0.6
16103,Minnesota,"Cannon township, Kittson County",20,0.6
16389,Minnesota,"Eagle Point township, Marshall County",17,0.6
18194,Minnesota,"Steenerson township, Beltrami County",23,0.6
26115,North Dakota,"Loma city, Cavalier County",16,0.6
36252,Vermont,"Ferdinand town, Essex County",32,0.6
756,Alaska,"Dry Creek CDP, Southeast Fairbanks Census Area",94,0.7
759,Alaska,"Edna Bay CDP, Prince of Wales-Hyder Census Area",42,0.7
769,Alaska,"Evansville CDP, Yukon-Koyukuk Census Area",15,0.7
825,Alaska,"Karluk CDP, Kodiak Island Borough",37,0.7
939,Alaska,"Port Clarence CDP, Nome Census Area",24,0.7
1003,Alaska,"Tolsona CDP, Valdez-Cordova Census Area",30,0.7
3708,Colorado,"Cathedral CDP, Hinsdale County",14,0.7
14637,Michigan,"Houghton township, Keweenaw County",82,0.7
16403,Minnesota,"East Park township, Marshall County",23,0.7
17427,Minnesota,"Minnie township, Beltrami County",26,0.7
17455,Minnesota,"Moose River township, Marshall County",25,0.7
17527,Minnesota,"New Dosey township, Pine County",74,0.7
17965,Minnesota,"Russia township, Polk County",27,0.7
18089,Minnesota,"Shotley Brook UT, Beltrami County",25,0.7
18103,Minnesota,"Sinnott township, Marshall County",24,0.7
22327,New Jersey,"Walpack township, Sussex County",16,0.7
24472,New York,"Red House town, Cattaraugus County",38,0.7
29770,Pennsylvania,"Elk township, Tioga County",49,0.7
30070,Pennsylvania,"Grugan township, Clinton County",51,0.7
36153,Vermont,"Averill town, Essex County",24,0.7
38262,Wisconsin,"Anderson town, Iron County",58,0.7
978,Alaska,"South Naknek CDP, Bristol Bay Borough",79,0.8
2605,California,"Furnace Creek CDP, Inyo County",24,0.8
6785,Illinois,Will County (part),1,0.8
12399,Maine,"Northeast Somerset UT, Somerset County",390,0.8
16245,Minnesota,"Cornish township, Aitkin County",28,0.8
17200,Minnesota,"Linsell township, Marshall County",29,0.8
17276,Minnesota,"McKinley UT, Kittson County",38,0.8
17517,Minnesota,"Nett Lake UT, Koochiching County",101,0.8
17687,Minnesota,"Otter Tail Peninsula township, Cass County",54,0.8
17778,Minnesota,"Pohlitz township, Roseau County",34,0.8
18352,Minnesota,"Veldt township, Marshall County",30,0.8
32108,Pennsylvania,"West Keating township, Clinton County",29,0.8
33805,Texas,Hays County (part),2,0.8
34343,Texas,Parker County (part),7,0.8
40506,Wyoming,"Owl Creek CDP, Hot Springs County",5,0.8
854,Alaska,"Lake Louise CDP, Matanuska-Susitna Borough",46,0.9
948,Alaska,"Red Devil CDP, Bethel Census Area",23,0.9
976,Alaska,"Sleetmute CDP, Bethel Census Area",86,0.9
1021,Alaska,"Whale Pass CDP, Prince of Wales-Hyder Census Area",31,0.9
1030,Alaska,"Wrangell city and borough, Wrangell City and Borough",2369,0.9
12151,Maine,"Dennistown plantation, Somerset County",33,0.9
12503,Maine,"Seboeis plantation, Penobscot County",35,0.9
12556,Maine,"The Forks plantation, Somerset County",37,0.9
13938,Michigan,"Bohemia township, Ontonagon County",82,0.9
14924,Michigan,"Matchwood township, Ontonagon County",94,0.9
16305,Minnesota,"Davis township, Kittson County",30,0.9
16400,Minnesota,"East Koochiching UT, Koochiching County",355,0.9
16489,Minnesota,"Espelie township, Marshall County",39,0.9
16506,Minnesota,"Fairbanks township, St. Louis County",63,0.9
17093,Minnesota,"Lake No. 1 UT, Lake County",154,0.9
17184,Minnesota,"Liberty township, Itasca County",62,0.9
17729,Minnesota,"Percy township, Kittson County",31,0.9
17781,Minnesota,"Polonia township, Roseau County",34,0.9
18286,Minnesota,"Tintah township, Traverse County",33,0.9
18500,Minnesota,"White Pine township, Aitkin County",34,0.9
20390,Montana,Sanders County (part),9,0.9
32164,Pennsylvania,"Wharton township, Potter County",99,0.9
35409,Texas,Caldwell County (part),3,0.9
39738,Wisconsin,"Popple River town, Forest County",44,0.9
683,Alaska,"Alatna CDP, Yukon-Koyukuk Census Area",37,1
733,Alaska,"Circle CDP, Yukon-Koyukuk Census Area",104,1
790,Alaska,"Glacier View CDP, Matanuska-Susitna Borough",234,1
868,Alaska,"McKinley Park CDP, Denali Borough",185,1
2260,California,"Bucks Lake CDP, Plumas County",10,1
12331,Maine,"Magalloway plantation, Oxford County",46,1
15408,Michigan,"Sherman township, Keweenaw County",67,1
15777,Minnesota,"Angle township, Lake of the Woods County",119,1
15990,Minnesota,"Boone township, Lake of the Woods County",36,1
16207,Minnesota,"Clow township, Kittson County",46,1
16648,Minnesota,"Gheen UT, St. Louis County",18,1
17366,Minnesota,"Meadows township, Wilkin County",38,1
17400,Minnesota,"Millward township, Aitkin County",72,1
17699,Minnesota,"Park township, Pine County",37,1
17701,Minnesota,"Parker township, Marshall County",35,1
18298,Minnesota,"Township 158-30, Lake of the Woods County",36,1
22921,New York,"Arietta town, Hamilton County",304,1
31699,Pennsylvania,"Stewardson township, Potter County",74,1
40473,Wyoming,"Lance Creek CDP, Niobrara County",43,1
746,Alaska,"Crooked Creek CDP, Bethel Census Area",105,1.1
3363,California,"Shoshone CDP, Inyo County",31,1.1
12369,Maine,"Moro plantation, Aroostook County",38,1.1
12517,Maine,"South Aroostook UT, Aroostook County",386,1.1
16095,Minnesota,"Camp 5 township, St. Louis County",35,1.1
16097,Minnesota,"Campbell township, Wilkin County",57,1.1
16110,Minnesota,"Caribou township, Kittson County",48,1.1
16228,Minnesota,"Como township, Marshall County",39,1.1
16770,Minnesota,"Hampden township, Kittson County",38,1.1
16827,Minnesota,"Hegne township, Norman County",40,1.1
17697,Minnesota,"Palmville township, Roseau County",39,1.1
17783,Minnesota,"Pomroy township, Itasca County",39,1.1
18088,Minnesota,"Shotley township, Beltrami County",35,1.1
18138,Minnesota,"South Red River township, Kittson County",19,1.1
18013,Minnesota,"St. Vincent township, Kittson County",58,1.1
23213,New York,"Clare town, St. Lawrence County",105,1.1
32829,South Dakota,"Bijou Hills CDP, Brule County",6,1.1
40289,Wisconsin,"Wilkinson town, Rusk County",40,1.1
40478,Wyoming,"Lonetree CDP, Uinta County",49,1.1
40534,Wyoming,"Slater CDP, Platte County",80,1.1
728,Alaska,"Chiniak CDP, Kodiak Island Borough",47,1.2
12162,Maine,"Drew plantation, Penobscot County",46,1.2
12606,Maine,"West Forks plantation, Somerset County",60,1.2
14268,Michigan,"Eagle Harbor township, Keweenaw County",217,1.2
15766,Minnesota,"Alvwood township, Itasca County",42,1.2
15847,Minnesota,"Balsam township, Aitkin County",42,1.2
16256,Minnesota,"Crane Lake township, St. Louis County",82,1.2
16519,Minnesota,"Fall Lake township, Lake County",549,1.2
16673,Minnesota,"Good Hope township, Norman County",43,1.2
16699,Minnesota,"Grand Plain township, Marshall County",55,1.2
16768,Minnesota,"Hammond township, Polk County",44,1.2
17607,Minnesota,"North Roseau UT, Roseau County",139,1.2
17611,Minnesota,"Northwest Aitkin UT, Aitkin County",342,1.2
17793,Minnesota,"Portage township, St. Louis County",170,1.2
17843,Minnesota,"Redpath township, Traverse County",48,1.2
17994,Minnesota,"St. Joseph township, Kittson County",56,1.2
18498,Minnesota,"Whiteford township, Marshall County",44,1.2
24081,New York,"Montague town, Lewis County",78,1.2
25890,North Dakota,"Alsen city, Cavalier County",35,1.2
33065,South Dakota,"Okaton CDP, Jones County",36,1.2
38556,Wisconsin,"Cedar Rapids town, Rusk County",41,1.2
772,Alaska,"False Pass city, Aleutians East Borough",35,1.3
890,Alaska,"Nelchina CDP, Valdez-Cordova Census Area",59,1.3
12093,Maine,"Caratunk town, Somerset County",69,1.3
12252,Maine,"Hibberts gore, Lincoln County",1,1.3
12378,Maine,"Nashville plantation, Aroostook County",46,1.3
14259,Michigan,"Duncan township, Houghton County",236,1.3
16304,Minnesota,"Davidson UT, Aitkin County",42,1.3
16717,Minnesota,"Grattan township, Itasca County",44,1.3
16975,Minnesota,"Jewett UT, Aitkin County",47,1.3
17182,Minnesota,"Libby township, Aitkin County",45,1.3
17230,Minnesota,"Long Lost Lake township, Clearwater County",43,1.3
17312,Minnesota,"Manston township, Wilkin County",48,1.3
17582,Minnesota,"North Cass UT, Cass County",264,1.3
17715,Minnesota,"Pelan township, Kittson County",45,1.3
18109,Minnesota,"Skane township, Kittson County",46,1.3
18133,Minnesota,"Southeast Roseau UT, Roseau County",231,1.3
18264,Minnesota,"Tegner township, Kittson County",48,1.3
18354,Minnesota,"Verdon township, Aitkin County",45,1.3
20040,Missouri,"Three Creeks village, Warren County",6,1.3
24218,New York,"North Hudson town, Essex County",240,1.3
29235,Pennsylvania,"Brown township, Lycoming County",96,1.3
38672,Wisconsin,"Dairyland town, Douglas County",184,1.3
38880,Wisconsin,"Foster town, Clark County",95,1.3
801,Alaska,"Harding-Birch Lakes CDP, Fairbanks North Star Borough",299,1.4
928,Alaska,"Platinum city, Bethel Census Area",61,1.4
985,Alaska,"Sunrise CDP, Kenai Peninsula Borough",18,1.4
12038,Maine,"Beddington town, Washington County",50,1.4
12301,Maine,"Lincoln plantation, Oxford County",45,1.4
16014,Minnesota,"Brandt township, Polk County",50,1.4
16684,Minnesota,"Gorton township, Grant County",49,1.4
16978,Minnesota,"Johnson township, Polk County",51,1.4
17148,Minnesota,"Lee township, Beltrami County",51,1.4
17219,Minnesota,"Lockhart township, Norman County",50,1.4
17604,Minnesota,"North Ottawa township, Grant County",50,1.4
17800,Minnesota,"Prairie Lake township, St. Louis County",50,1.4
18049,Minnesota,"Schroeder township, Cook County",205,1.4
18150,Minnesota,"Spring Brook township, Kittson County",52,1.4
18235,Minnesota,"Svea township, Kittson County",49,1.4
18274,Minnesota,"Thief Lake township, Marshall County",39,1.4
18276,Minnesota,"Third River township, Itasca County",50,1.4
18281,Minnesota,"Thorpe township, Hubbard County",49,1.4
36451,Vermont,"Victory town, Essex County",62,1.4
38253,Wisconsin,"Alvin town, Forest County",157,1.4
