,State,Geographic area,Population,Density per square mile of land area - Population
3384,California,"Soledad city, Monterey County",25738,5831.1
30885,Pennsylvania,"New Brighton borough, Beaver County",6025,5835.7
12934,Maryland,"Laurel city, Prince George's County",25115,5838.7
2827,California,"La Riviera CDP, Sacramento County",10802,5839.9
40687,Puerto Rico,"Juncos zona urbana, Juncos Municipio",7564,5841.9
11236,Kentucky,Worthington Hills city,1446,5845.8
11494,Kentucky,"Worthington Hills city, Jefferson County",1446,5845.8
37068,Virginia,"Sudley CDP, Prince William County",16203,5847.4
37116,Virginia,"West Falls Church CDP, Fairfax County",29207,5847.7
3247,California,"Rohnert Park city, Sonoma County",40971,5850.9
2357,California,"Citrus Heights city, Sacramento County",83301,5854.6
35666,Texas,"Valle Vista CDP, Starr County",469,5856.7
24618,New York,"Seaford CDP, Nassau County",15294,5858.5
21929,New Jersey,"Iselin CDP, Middlesex County",18695,5861.5
34681,Texas,"Laguna Heights CDP, Cameron County",3488,5872.3
21852,New Jersey,"Glen Ridge borough, Essex County",7527,5872.8
12851,Maryland,"Gaithersburg city, Montgomery County",59933,5875.2
19116,Missouri,"Breckenridge Hills city, St. Louis County",4746,5875.2
40570,Puerto Rico,"Adjuntas zona urbana, Adjuntas Municipio",4406,5875.2
34610,Texas,Jollyville CDP,16151,5875.2
37071,Virginia,"Sugarland Run CDP, Loudoun County",11799,5877
5065,Florida,"Miami Gardens city, Miami-Dade County",107167,5878.4
18959,Mississippi,"University CDP, Lafayette County",4202,5880.7
19396,Missouri,"Glasgow Village CDP, St. Louis County",5429,5882.8
19443,Missouri,"Hanley Hills village, St. Louis County",2101,5883.9
24504,New York,"Rochester city, Monroe County",210565,5884.9
34612,Texas,Williamson County (part),15269,5888.8
14714,Michigan,"Keego Harbor city, Oakland County",2970,5890.8
40706,Puerto Rico,"Las Ollas comunidad, Santa Isabel Municipio",1557,5894.8
7149,Illinois,"Forest Park village, Cook County",14167,5898.7
28614,Oregon,"Four Corners CDP, Marion County",15947,5900.9
31595,Pennsylvania,"Souderton borough, Montgomery County",6618,5901.6
23699,New York,"Hartsdale CDP, Westchester County",5293,5913.6
6350,Hawaii,"Schofield Barracks CDP, Honolulu County",16370,5914
6246,Hawaii,"Halawa CDP, Honolulu County",14014,5914.3
28570,Oregon,"Cornelius city, Washington County",11869,5920
40824,Puerto Rico,"Toa Alta zona urbana, Toa Alta Municipio",3713,5924
21625,New Jersey,"Audubon borough, Camden County",8819,5925.7
11223,Kentucky,Strathmoor Manor city,337,5929.4
11425,Kentucky,"Strathmoor Manor city, Jefferson County",337,5929.4
30617,Pennsylvania,"McSherrystown borough, Adams County",3038,5936.6
23389,New York,"Eastchester CDP, Westchester County",19554,5937.1
32141,Pennsylvania,"West Pittston borough, Luzerne County",4868,5937.2
40811,Puerto Rico,"San Lorenzo zona urbana, San Lorenzo Municipio",8037,5939.7
5455,Florida,"Wilton Manors city, Broward County",11632,5942.7
32187,Pennsylvania,"Wilkes-Barre city, Luzerne County",41498,5945
4988,Florida,"Lake Worth city, Palm Beach County",34910,5945.2
30472,Pennsylvania,"Lewisburg borough, Union County",5792,5951.5
2856,California,"Lincoln Village CDP, San Joaquin County",4381,5952.8
2264,California,"Burbank city, Los Angeles County",103340,5959.3
30504,Pennsylvania,"Lincoln University CDP, Chester County",1726,5959.4
29246,Pennsylvania,"Bryn Mawr CDP, Montgomery County",3779,5961.1
37498,Washington,"Mattawa town, Grant County",4437,5961.7
11805,Louisiana,"Metairie CDP, Jefferson Parish",138481,5963.4
36608,Virginia,"Centreville CDP, Fairfax County",71135,5965.3
3126,California,"Pasadena city, Los Angeles County",137122,5969.6
22051,New Jersey,"Montclair township, Essex County",37669,5971.2
24221,New York,"North Massapequa CDP, Nassau County",17886,5971.3
23985,New York,"Mamaroneck village, Westchester County",18929,5971.8
4748,Florida,"Egypt Lake-Leto CDP, Hillsborough County",35282,5974.2
2207,California,"Beverly Hills city, Los Angeles County",34109,5975.5
40647,Puerto Rico,"Duque comunidad, Naguabo Municipio",1320,5976.9
40836,Puerto Rico,"Yauco zona urbana, Yauco Municipio",17186,5982.3
13006,Maryland,"North Beach town, Calvert County",1978,5983.9
29221,Pennsylvania,"Bristol borough, Bucks County",9726,5987.2
20061,Missouri,"University City city, St. Louis County",35371,5991
7568,Illinois,"Melrose Park village, Cook County",25411,5996.3
6267,Hawaii,"Iroquois Point CDP, Honolulu County",3374,5997.5
19757,Missouri,"Northwoods city, St. Louis County",4227,5998.5
7258,Illinois,Hanover Park village,37973,5999.9
22088,New Jersey,"North Arlington borough, Bergen County",15392,6010.3
40746,Puerto Rico,"Orocovis zona urbana, Orocovis Municipio",722,6010.4
24549,New York,"Saddle Rock Estates CDP, Nassau County",466,6010.8
31352,Pennsylvania,"Ridley township, Delaware County",30768,6010.9
12744,Maryland,"Chevy Chase town, Montgomery County",2824,6014.7
23706,New York,"Haverstraw village, Rockland County",11910,6014.9
3532,California,"View Park-Windsor Hills CDP, Los Angeles County",11075,6015.1
5042,Florida,"Margate city, Broward County",53284,6017.8
40782,Puerto Rico,"Quebrada comunidad, Camuy Municipio",995,6018.2
36797,Virginia,"Idylwood CDP, Fairfax County",17288,6020.7
37765,Washington,"White Center CDP, King County",13495,6020.8
23782,New York,"Huntington Station CDP, Suffolk County",33029,6033.7
36707,Virginia,"Fair Oaks CDP, Fairfax County",30223,6043.5
30760,Pennsylvania,"Millvale borough, Allegheny County",3744,6044.3
2603,California,"Fullerton city, Orange County",135161,6046.7
23406,New York,"East Meadow CDP, Nassau County",38132,6048.9
3123,California,"Parkway CDP, Sacramento County",14670,6067
40803,Puerto Rico,"Salinas zona urbana, Salinas Municipio",4771,6067.3
35722,Texas,"West Alto Bonito CDP, Starr County",696,6069.2
24219,New York,"North Lindenhurst CDP, Suffolk County",11652,6070
13120,Maryland,"Suitland CDP, Prince George's County",25825,6073.7
40777,Puerto Rico,"Potala Pastillo comunidad, Juana D�_az Municipio",3092,6075.1
23990,New York,"Manhasset Hills CDP, Nassau County",3592,6075.6
40768,Puerto Rico,"Pe̱uelas zona urbana, Pe̱uelas Municipio",5859,6077.4
35312,Texas,"Rivereno CDP, Starr County",61,6081.7
22924,New York,"Arlington CDP, Dutchess County",4061,6082.3
7410,Illinois,"La Grange Park village, Cook County",13579,6084.6
40677,Puerto Rico,"Imb̩ry comunidad, Barceloneta Municipio",3899,6088.1
4478,Delaware,"Elsmere town, New Castle County",6131,6091.6
31404,Pennsylvania,"Royersford borough, Montgomery County",4752,6091.6
30111,Pennsylvania,"Harrisburg city, Dauphin County",49528,6092.1
40761,Puerto Rico,"Parcelas Mandry comunidad, Ponce Municipio",571,6094.2
24016,New York,"Massapequa CDP, Nassau County",21685,6095.2
27218,Ohio,"Norwood city, Hamilton County",19207,6102.8
40626,Puerto Rico,"Celada comunidad, Gurabo Municipio",4081,6102.9
10610,Kansas,"Oaklawn-Sunview CDP, Sedgwick County",3276,6103.2
30438,Pennsylvania,"Lebanon city, Lebanon County",25477,6113.5
22195,New Jersey,"River Edge borough, Bergen County",11340,6116.3
23731,New York,"Hicksville CDP, Nassau County",41547,6118
2587,California,"Fountain Valley city, Orange County",55313,6133.5
2327,California,"Castroville CDP, Monterey County",6481,6133.7
24596,New York,"Schenectady city, Schenectady County",66135,6135.3
4825,Florida,"Golden Gate CDP, Collier County",23961,6140.2
4853,Florida,"Gun Club Estates CDP, Palm Beach County",776,6147.7
4751,Florida,"El Portal village, Miami-Dade County",2325,6148.7
22017,New Jersey,"Maplewood township, Essex County",23867,6155.3
19073,Missouri,"Beverly Hills city, St. Louis County",574,6157.5
7409,Illinois,"La Grange village, Cook County",15550,6163.2
36710,Virginia,Falls Church city,12332,6169.8
3021,California,"Mountain View city, Santa Clara County",74066,6174.6
21840,New Jersey,"Freehold borough, Monmouth County",12052,6180.8
24030,New York,"Mechanicville city, Saratoga County",5196,6181
39476,Wisconsin,Milwaukee city,594833,6188.3
2818,California,"La Mirada city, Los Angeles County",48527,6189.4
23793,New York,"Inwood CDP, Nassau County",9792,6191.6
39477,Wisconsin,Milwaukee County (part),594833,6194.7
2427,California,"Cutler CDP, Tulare County",5000,6194.8
30356,Pennsylvania,"Kingston borough, Luzerne County",13182,6195.1
6800,Illinois,"Brookfield village, Cook County",18978,6195.7
11229,Kentucky,Wellington city,565,6196.1
11463,Kentucky,"Wellington city, Jefferson County",565,6196.1
40666,Puerto Rico,"Guayama zona urbana, Guayama Municipio",22691,6196.7
4693,Florida,"Country Walk CDP, Miami-Dade County",15997,6201.6
11224,Kentucky,Strathmoor Village city,648,6206
11426,Kentucky,"Strathmoor Village city, Jefferson County",648,6206
16871,Minnesota,"Hilltop city, Anoka County",744,6212.5
2824,California,"La Presa CDP, San Diego County",34169,6217.4
31369,Pennsylvania,"Rochester borough, Beaver County",3657,6218.5
35264,Texas,"Rancho Viejo CDP, Starr County",228,6219
13096,Maryland,"Seat Pleasant city, Prince George's County",4542,6224.5
2306,California,"Capitola city, Santa Cruz County",9918,6225.6
40815,Puerto Rico,"Santa Isabel zona urbana, Santa Isabel Municipio",5976,6227.7
13011,Maryland,"North Kensington CDP, Montgomery County",9514,6228.4
5196,Florida,"Pine Air CDP, Palm Beach County",2024,6243.4
22300,New Jersey,"Union township, Union County",56642,6244.3
29903,Pennsylvania,"Fountain Hill borough, Lehigh County",4597,6251.2
7744,Illinois,"Orland Hills village, Cook County",7149,6257.7
3479,California,"Tonyville CDP, Tulare County",316,6257.9
35659,Texas,"University Park city, Dallas County",23068,6258.6
5170,Florida,"Palmetto Estates CDP, Miami-Dade County",13535,6259.5
20133,Missouri,"Winchester city, St. Louis County",1547,6264.7
40668,Puerto Rico,"Guaynabo zona urbana, Guaynabo Municipio",75443,6265.3
21673,New Jersey,"Bound Brook borough, Somerset County",10402,6269.6
26763,Ohio,"Golf Manor village, Hamilton County",3611,6275.5
24389,New York,"Plainedge CDP, Nassau County",8817,6279.5
7111,Illinois,"Evergreen Park village, Cook County",19852,6279.8
22061,New Jersey,"Morristown town, Morris County",18411,6284.9
2246,California,"Boyes Hot Springs CDP, Sonoma County",6656,6286.3
2817,California,"La Mesa city, San Diego County",57065,6287.3
24236,New York,"North Wantagh CDP, Nassau County",11960,6287.5
28786,Oregon,Washington County (part),1547,6290
40724,Puerto Rico,"Mar�_a Antonia comunidad, Gu��nica Municipio",1285,6292.9
2621,California,"Glendale city, Los Angeles County",191719,6295.5
20062,Missouri,"Uplands Park village, St. Louis County",445,6295.8
12791,Maryland,"District Heights city, Prince George's County",5837,6298.5
14279,Michigan,"Eastpointe city, Macomb County",32442,6307.4
28990,Pennsylvania,Montgomery County (part),7506,6314.7
21811,New Jersey,"Fair Lawn borough, Bergen County",32457,6315.4
32063,Pennsylvania,"Wesleyville borough, Erie County",3341,6318.3
31003,Pennsylvania,"North York borough, York County",1914,6321.2
28988,Pennsylvania,Ardmore CDP,12455,6321.6
40631,Puerto Rico,"Coamo zona urbana, Coamo Municipio",11522,6322.1
40717,Puerto Rico,"Luis Llor̩ns Torres comunidad, Juana D�_az Municipio",2912,6324.7
5351,Florida,"Tangelo Park CDP, Orange County",2231,6325.2
2717,California,"Imperial Beach city, San Diego County",26324,6325.9
40669,Puerto Rico,"Gurabo zona urbana, Gurabo Municipio",7609,6327.1
3319,California,"Santa Clara city, Santa Clara County",116468,6327.3
28989,Pennsylvania,Delaware County (part),4949,6332.1
40670,Puerto Rico,"Hacienda San Jose comunidad, Caguas Municipio",3531,6336.1
40578,Puerto Rico,"A̱asco zona urbana, A̱asco Municipio",5075,6337.4
6912,Illinois,"Chicago Ridge village, Cook County",14305,6345.8
11956,Louisiana,"Terrytown CDP, Jefferson Parish",23319,6346.2
40598,Puerto Rico,"Buena Vista comunidad (Arroyo Municipio), Arroyo Municipio",1660,6346.9
34247,Texas,"El Cenizo city, Webb County",3273,6351.9
5130,Florida,"Oak Ridge CDP, Orange County",22685,6355.8
3148,California,"Piedmont city, Alameda County",10667,6358.5
40755,Puerto Rico,"Palmer comunidad, R�_o Grande Municipio",1032,6360.9
21846,New Jersey,"Garwood borough, Union County",4226,6362.7
3629,Colorado,"Aetna Estates CDP, Arapahoe County",834,6362.8
24436,New York,"Poughkeepsie city, Dutchess County",32736,6364.1
28626,Oregon,"Gervais city, Marion County",2464,6365.9
3302,California,"San Leandro city, Alameda County",84950,6366.8
7204,Illinois,"Glendale Heights village, DuPage County",34208,6367.3
3435,California,"Sunnyvale city, Santa Clara County",140081,6370.9
22032,New Jersey,"Merchantville borough, Camden County",3821,6371.3
29186,Pennsylvania,"Brackenridge borough, Allegheny County",3260,6373.4
3225,California,"Richgrove CDP, Tulare County",2882,6376.2
24920,New York,"Westbury village, Nassau County",15146,6380.2
3327,California,"Santa Paula city, Ventura County",29321,6384.3
7771,Illinois,"Park City city, Lake County",7570,6385.6
2515,California,"El Cerrito city, Contra Costa County",23549,6385.8
3255,California,"Rose Hills CDP, Los Angeles County",2803,6386.4
12832,Maryland,"Forest Glen CDP, Montgomery County",6582,6386.4
6695,Illinois,Kendall County (part),6019,6391.3
29911,Pennsylvania,"Frackville borough, Schuylkill County",3805,6399
2113,California,"Aliso Viejo city, Orange County",47823,6400.4
6815,Illinois,Cook County (part),13644,6403
23715,New York,"Hempstead town, Nassau County",759757,6406.7
5383,Florida,"University CDP (Hillsborough County), Hillsborough County",41163,6407.5
40583,Puerto Rico,"Arroyo zona urbana, Arroyo Municipio",6396,6407.9
30509,Pennsylvania,"Linwood CDP, Delaware County",3281,6410.5
12746,Maryland,"Chevy Chase Section Five village, Montgomery County",658,6418.6
24765,New York,"Thomaston village, Nassau County",2617,6421.4
3444,California,"Taft Heights CDP, Kern County",1949,6430.2
22105,New Jersey,"Oaklyn borough, Camden County",4038,6432.9
19206,Missouri,"Clayton city, St. Louis County",15939,6435.9
22218,New Jersey,"Rutherford borough, Bergen County",18061,6437.4
7993,Illinois,"Skokie village, Cook County",64784,6437.9
21253,Nevada,"Winchester CDP, Clark County",27978,6444.2
3797,Colorado,"Federal Heights city, Adams County",11467,6457.1
12747,Maryland,"Chevy Chase Section Three village, Montgomery County",760,6461.9
5436,Florida,"West Park city, Broward County",14156,6462.3
5361,Florida,"The Hammocks CDP, Miami-Dade County",51003,6470.3
10880,Kentucky,"Bellevue city, Campbell County",5955,6470.5
23086,New York,"Buffalo city, Erie County",261310,6470.6
14821,Michigan,"Lincoln Park city, Wayne County",38144,6478.3
10345,Kansas,Geary County (part),613,6483.9
4839,Florida,"Greenacres city, Palm Beach County",37573,6487.5
28653,Oregon,"Hayesville CDP, Marion County",19936,6488.3
3274,California,"Salinas city, Monterey County",150441,6490.5
31353,Pennsylvania,"Ridley Park borough, Delaware County",7002,6491.7
4572,Florida,"Bal Harbour village, Miami-Dade County",2513,6492.1
3177,California,"Pomona city, Los Angeles County",149058,6494.5
24252,New York,"Oceanside CDP, Nassau County",32109,6495
4530,Delaware,"Wilmington city, New Castle County",70851,6497.6
34606,Texas,"JF Villarreal CDP, Starr County",104,6501.7
23385,New York,"East Atlantic Beach CDP, Nassau County",2049,6503
5245,Florida,"Redington Shores town, Pinellas County",2121,6509
31190,Pennsylvania,"Pitcairn borough, Allegheny County",3294,6521.5
21905,New Jersey,"Highlands borough, Monmouth County",5005,6522.8
30140,Pennsylvania,"Hebron CDP, Lebanon County",1305,6524
2845,California,"Lemon Grove city, San Diego County",25320,6525.3
13032,Maryland,"Peppermill Village CDP, Prince George's County",4895,6531.2
3564,California,"West Athens CDP, Los Angeles County",8729,6531.5
24686,New York,"South Farmingdale CDP, Nassau County",14486,6532.2
2266,California,"Burlingame city, San Mateo County",28806,6538.1
31991,Pennsylvania,"Warminster Heights CDP, Bucks County",4124,6543.3
29553,Pennsylvania,"Darby township, Delaware County",9264,6544.5
30007,Pennsylvania,"Glenside CDP, Montgomery County",8384,6547.3
13051,Maryland,"Potomac Park CDP, Allegany County",2530,6559.9
26614,Ohio,"Deer Park city, Hamilton County",5736,6564.2
23073,New York,"Bronxville village, Westchester County",6323,6572.9
5360,Florida,"The Crossings CDP, Miami-Dade County",22758,6574.8
40620,Puerto Rico,"Cayey zona urbana, Cayey Municipio",16680,6577.6
29705,Pennsylvania,"Easton city, Northampton County",26800,6581.7
12900,Maryland,"Hyattsville city, Prince George's County",17557,6588
40747,Puerto Rico,"P��jaros comunidad, Toa Alta Municipio",10122,6588.8
12766,Maryland,"Coral Hills CDP, Prince George's County",9895,6591
30594,Pennsylvania,"McAdoo borough, Schuylkill County",2300,6593.9
7711,Illinois,"Oak Lawn village, Cook County",56690,6596.1
28984,Pennsylvania,"Applewold borough, Armstrong County",310,6601.1
24431,New York,"Port Washington North village, Nassau County",3154,6604.4
5176,Florida,"Palm Springs North CDP, Miami-Dade County",5253,6604.6
3125,California,"Parlier city, Fresno County",14494,6606.9
3567,California,"West Covina city, Los Angeles County",106098,6614.3
12894,Maryland,"Hillcrest Heights CDP, Prince George's County",16469,6621.1
22286,New Jersey,"Teaneck township, Bergen County",39776,6622.2
2970,California,"Millbrae city, San Mateo County",21532,6632.1
40748,Puerto Rico,"Pajonal comunidad, Florida Municipio",742,6632.1
2437,California,"Davis city, Yolo County",65622,6637
3721,Colorado,"Cherry Creek CDP, Arapahoe County",11120,6637.9
24545,New York,"Rye town, Westchester County",45928,6638.2
40274,Wisconsin,"Whitefish Bay village, Milwaukee County",14110,6640.4
